date,cases
2020-01-22,557
2020-01-23,657
2020-01-24,944
2020-01-25,1437
2020-01-26,2120
2020-01-27,2929
2020-01-28,5580
2020-01-29,6169
2020-01-30,8237
2020-01-31,9927
2020-02-01,12038
2020-02-02,16787
2020-02-03,19887
2020-02-04,23899
2020-02-05,27644
2020-02-06,30806
2020-02-07,34400
2020-02-08,37131
2020-02-09,40162
2020-02-10,42771
2020-02-11,44814
2020-02-12,45232
2020-02-13,60384
2020-02-14,66912
2020-02-15,69055
2020-02-16,71238
2020-02-17,73273
2020-02-18,75155
2020-02-19,75655
2020-02-20,76216
2020-02-21,76846
2020-02-22,78608
2020-02-23,78990
2020-02-24,79558
2020-02-25,80412
2020-02-26,81384
2020-02-27,82728
2020-02-28,84152
2020-02-29,86023
2020-03-01,88402
2020-03-02,90382
2020-03-03,92994
2020-03-04,95338
2020-03-05,98078
2020-03-06,102062
2020-03-07,106199
2020-03-08,109997
2020-03-09,114292
2020-03-10,119051
2020-03-11,126527
2020-03-12,133283
2020-03-13,146477
2020-03-14,157365
2020-03-15,168598
2020-03-16,183165
2020-03-17,198339
2020-03-18,215900
2020-03-19,242987
2020-03-20,272517
2020-03-21,304944
2020-03-22,339156
2020-03-23,381711
2020-03-24,423594
2020-03-25,475075
2020-03-26,535889
2020-03-27,599820
2020-03-28,669402
2020-03-29,725918
2020-03-30,790929
2020-03-31,869371
2020-04-01,955728
2020-04-02,1038176
2020-04-03,1122386
2020-04-04,1182507
2020-04-05,1254222
2020-04-06,1328948
2020-04-07,1397886
2020-04-08,1480062
2020-04-09,1567243
2020-04-10,1653665
2020-04-11,1729180
2020-04-12,1847761
2020-04-13,1919593
2020-04-14,2004226
2020-04-15,2082482
2020-04-16,2176950
2020-04-17,2264830
2020-04-18,2343082
2020-04-19,2419404
2020-04-20,2495886
2020-04-21,2571973
2020-04-22,2654011
2020-04-23,2736728
2020-04-24,2820291
2020-04-25,2903496
2020-04-26,2974291
2020-04-27,3045275
2020-04-28,3121107
2020-04-29,3198435
2020-04-30,3282087
2020-05-01,3371033
2020-05-02,3449295
2020-05-03,3523292
2020-05-04,3600929
2020-05-05,3680614
2020-05-06,3771036
2020-05-07,3860174
2020-05-08,3950657
2020-05-09,4035000
2020-05-10,4110223
2020-05-11,4186364
2020-05-12,4271644
2020-05-13,4355992
2020-05-14,4451634
2020-05-15,4547536
2020-05-16,4641426
2020-05-17,4719789
2020-05-18,4808921
2020-05-19,4904739
2020-05-20,5010162
2020-05-21,5116135
2020-05-22,5223477
2020-05-23,5327627
2020-05-24,5420843
2020-05-25,5509066
2020-05-26,5601428
2020-05-27,5703984
2020-05-28,5823977
2020-05-29,5945413
2020-05-30,6080456
2020-05-31,6183316
2020-06-01,6283580
2020-06-02,6406221
2020-06-03,6517437
2020-06-04,6655667
2020-06-05,6789073
2020-06-06,6918403
2020-06-07,7029415
2020-06-08,7132463
2020-06-09,7258445
2020-06-10,7395607
2020-06-11,7531793
2020-06-12,7659267
2020-06-13,7793175
2020-06-14,7925122
2020-06-15,8050034
2020-06-16,8193933
2020-06-17,8337135
2020-06-18,8480229
2020-06-19,8661225
2020-06-20,8847108
2020-06-21,8940170
2020-06-22,9082502
2020-06-23,9250625
2020-06-24,9422061
2020-06-25,9601576
2020-06-26,9794066
2020-06-27,9970478
2020-06-28,10138935
2020-06-29,10291617
2020-06-30,10475388
2020-07-01,10690516
2020-07-02,10895486
2020-07-03,11098124
2020-07-04,11287838
2020-07-05,11474058
2020-07-06,11642331
2020-07-07,11851900
2020-07-08,12067186
2020-07-09,12291782
2020-07-10,12524663
2020-07-11,12737483
2020-07-12,12930415
2020-07-13,13124893
2020-07-14,13345920
2020-07-15,13575706
2020-07-16,13820618
2020-07-17,14058038
2020-07-18,14293379
2020-07-19,14505270
2020-07-20,14713414
2020-07-21,14956435
2020-07-22,15231791
2020-07-23,15511422
2020-07-24,15794928
2020-07-25,16044485
2020-07-26,16256294
2020-07-27,16490680
2020-07-28,16754567
2020-07-29,17024801
2020-07-30,17306582
2020-07-31,17594044
2020-08-01,17840315
2020-08-02,18070926
2020-08-03,18276983
2020-08-04,18542287
2020-08-05,18817443
2020-08-06,19104145
2020-08-07,19386579
2020-08-08,19651806
2020-08-09,19884801
2020-08-10,20118013
2020-08-11,20383576
2020-08-12,20658646
2020-08-13,20948740
2020-08-14,21255813
2020-08-15,21504839
2020-08-16,21714880
2020-08-17,21927762
2020-08-18,22187166
2020-08-19,22464640
2020-08-20,22736119
2020-08-21,22998072
2020-08-22,23261601
2020-08-23,23464360
2020-08-24,23692460
2020-08-25,23937668
2020-08-26,24219359
2020-08-27,24506622
2020-08-28,24790561
2020-08-29,25051295
2020-08-30,25271033
2020-08-31,25535340
2020-09-01,25802224
2020-09-02,26084114
2020-09-03,26369544
2020-09-04,26671276
2020-09-05,26944997
2020-09-06,27173995
2020-09-07,27391278
2020-09-08,27637790
2020-09-09,27923100
2020-09-10,28227493
2020-09-11,28543855
2020-09-12,28832580
2020-09-13,29081415
2020-09-14,29348555
2020-09-15,29629107
2020-09-16,29934059
2020-09-17,30249632
2020-09-18,30576278
2020-09-19,30869397
2020-09-20,31124526
2020-09-21,31384435
2020-09-22,31668754
2020-09-23,31980407
2020-09-24,32301360
2020-09-25,32631974
2020-09-26,32918085
2020-09-27,33165079
2020-09-28,33426328
2020-09-29,33709128
2020-09-30,34033675
2020-10-01,34352787
2020-10-02,34682292
2020-10-03,34979647
2020-10-04,35240179
2020-10-05,35551524
2020-10-06,35867647
2020-10-07,36216841
2020-10-08,36576162
2020-10-09,36936565
2020-10-10,37292089
2020-10-11,37581583
2020-10-12,37871608
2020-10-13,38190980
2020-10-14,38571764
2020-10-15,38978760
2020-10-16,39389280
2020-10-17,39761413
2020-10-18,40092656
2020-10-19,40467606
2020-10-20,40856480
2020-10-21,41296091
2020-10-22,41778168
2020-10-23,42272069
2020-10-24,42728414
2020-10-25,43087247
2020-10-26,43570291
2020-10-27,44038754
2020-10-28,44560523
2020-10-29,45111898
2020-10-30,45683640
2020-10-31,46155745
2020-11-01,46594934
2020-11-02,47143303
2020-11-03,47708817
2020-11-04,48200961
2020-11-05,48820295
2020-11-06,49443478
2020-11-07,50042669
2020-11-08,50533518
2020-11-09,51043324
2020-11-10,51614069
2020-11-11,52238734
2020-11-12,52878929
2020-11-13,53539863
2020-11-14,54126889
2020-11-15,54617117
2020-11-16,55142751
2020-11-17,55745063
2020-11-18,56367328
2020-11-19,57021314
2020-11-20,57695345
2020-11-21,58287916
2020-11-22,58785996
2020-11-23,59320006
2020-11-24,59910792
2020-11-25,60527871
2020-11-26,61117132
2020-11-27,61812474
2020-11-28,62420041
2020-11-29,62915662
2020-11-30,63422239
2020-12-01,64037142
2020-12-02,64677389
2020-12-03,65367986
2020-12-04,66064345
2020-12-05,66706697
2020-12-06,67250638
2020-12-07,67785484
2020-12-08,68416150
2020-12-09,69081500
2020-12-10,70576907
2020-12-11,71282658
2020-12-12,71931348
2020-12-13,72470142
2020-12-14,73021298
2020-12-15,73669919
2020-12-16,74387461
2020-12-17,75126063
2020-12-18,75847501
2020-12-19,76483006
2020-12-20,77030307
2020-12-21,77576529
2020-12-22,78227986
2020-12-23,78910081
2020-12-24,79603472
2020-12-25,80096696
2020-12-26,80629340
2020-12-27,81042534
2020-12-28,81541719
2020-12-29,82213594
2020-12-30,82938894
2020-12-31,83778622
2021-01-01,84342314
2021-01-02,84946690
2021-01-03,85467020
2021-01-04,86024461
2021-01-05,86765351
2021-01-06,87556264
2021-01-07,88426222
2021-01-08,89261637
2021-01-09,90017904
2021-01-10,90619443
2021-01-11,91233917
2021-01-12,91926453
2021-01-13,92669726
2021-01-14,93428784
2021-01-15,94212637
2021-01-16,94869509
2021-01-17,95397119
2021-01-18,95914366
2021-01-19,96507148
2021-01-20,97194354
2021-01-21,97863110
2021-01-22,98526596
2021-01-23,99103312
2021-01-24,99565294
2021-01-25,100046846
2021-01-26,100608158
2021-01-27,101209122
2021-01-28,101824237
2021-01-29,102413219
2021-01-30,102928083
